Player,Positions,Team,Multiplier,Overall,Franchise,Rookie,Tradeable,Salary,Collection,Status,Expires
"TreVeyon Henderson","Rb","NE","1.4","111","No","No","Yes","7280","Primetime-All","Active","2026-11-11"
"Jalen Hurts","Qb","PHI","1.5","138","No","No","Yes","9900","Primetime-QB","Active","2026-11-11"
"CeeDee Lamb","Wr","DAL","1.2","108","No","No","Yes","8880","2025 Core","Active","2026-11-12"
"Jaylen Waddle","Wr","DEN","1.5","106","No","No","Yes","9450","2025 Core","Active","2026-11-11"
"Brian Thomas Jr.","Wr","JAX","1.4","115","No","No","No","7700","2025 Core","Active","2026-11-11"
"Matthew Golden","Wr","GB","1.3","79","No","No","No","6110","2025 Core WR","Active","2026-12-02"
"Derrick Henry","Rb","BAL","1.4","127","No","No","Yes","9380","2025 Core","Active","2026-12-02"
"Harold Fannin Jr.","Te","CLE","1","63","No","No","Yes","4200","2025 Core","Active","2026-12-02"
"Tre Tucker","Wr","LV","1.5","72","No","No","Yes","6000","2025 Core","Active","2026-12-02"
"Kyle Monangai","Rb","CHI","1.5","80","No","No","Yes","7650","2025 Core","Active","2026-12-02"
"Pat Bryant","Wr","DEN","1.4","45","No","No","Yes","5880","2025 Core","Active","2026-12-02"
"Marvin Mims Jr.","Wr","DEN","1.5","75","No","No","Yes","4800","2025 Core","Active","2026-12-02"
"Rome Odunze","Wr","CHI","1.4","98","No","No","Yes","7560","2025 Core","Active","2026-11-12"
"Quentin Johnston","Wr","LAC","1.4","63","No","No","Yes","6580","2025 Core","Active","2026-11-12"
"Dallas Goedert","Te","PHI","1.5","90","No","No","Yes","6150","Primetime-TE","Active","2026-11-12"
"Drake Maye","Qb","NE","1.1","94","No","No","Yes","6600","2025 Core","Active","2026-11-13"
"Dak Prescott","Qb","DAL","1.5","120","No","No","Yes","9600","Primetime-QB","Active","2026-09-23"
"Breece Hall","Rb","NYJ","1.4","112","No","No","Yes","8680","2025 Core","Active","2026-11-14"
