"Player","position","multiplier","salary","status","game_window","SOS","Floor","Consensus","Proj.","Ceiling","3D Proj.","GB_Projection","GB_Projection_Floor","GB_Projection_Ceiling"
"David Njoku","TE",1.3,6760,"Active","Sunday Morning","23%",7.6,12.7,11.7,16.6,11.9,15.47,9.88,21.58
"Dalton Kincaid","TE",1.3,6370,"Active","Sunday Afternoon","-32%",6.2,9,8.6,15.6,9.5,12.35,8.06,20.28
"Trey McBride","TE",1.3,7800,"Active","Sunday Afternoon","10%",8.5,14.4,14.5,18.1,14,18.2,11.05,23.53
"Hunter Henry","TE",1.3,5590,"Active","Sunday Afternoon","-8%",7.1,10.2,10.4,15.7,10.8,14.04,9.23,20.41
"David Njoku","TE",1,5200,"Active","Sunday Morning","23%",7.6,12.7,11.7,16.6,11.9,11.9,7.6,16.6
"Evan Engram","TE",1,4600,"Active","Sunday Morning","-18%",7.2,10.5,10.1,14.8,10.4,10.4,7.2,14.8
"Pat Freiermuth","TE",1.1,4290,"Active","Sunday Afternoon","-20%",6,7.3,7.5,14.6,8.6,9.46,6.6,16.06
"Brock Bowers","TE",1,6600,"Active","Monday Night","-8%",8,14.9,14.6,17.6,13.9,13.9,8,17.6
"Hunter Henry","TE",1.3,5590,"Active","Sunday Afternoon","-8%",7.1,10.2,10.4,15.7,10.8,14.04,9.23,20.41
"Travis Kelce","TE",1.1,6270,"Active","Sunday Morning","2%",8.2,13,13.6,17.6,13.3,14.63,9.02,19.36
"T.J. Hockenson","TE",1,4800,"Active","Monday Night","14%",6.9,10.8,10.2,16.4,10.8,10.8,6.9,16.4
"Zach Ertz","TE",1.3,5200,"Active","Sunday Morning","3%",7.1,10,9.5,15.4,10.2,13.26,9.23,20.02
"Will Dissly","TE",1.2,4440,"Active","Sunday Afternoon",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zach Ertz","TE",1.4,5600,"Active","Sunday Morning","3%",7.1,10,9.5,15.4,10.2,14.28,9.94,21.56
"George Kittle","TE",1.3,7930,"Active","Thursday Night","-4%",7.9,14,14.3,18.3,13.8,17.94,10.27,23.79
"Jonnu Smith","TE",1.1,5940,"Active","Sunday Morning","-16%",7.7,11.8,13,16.8,12.7,13.97,8.47,18.48
"Foster Moreau","TE",1.3,3900,"Active","Sunday Morning","-8%",3.3,5.1,4.8,10.8,5.7,7.41,4.29,14.04
"Noah Fant","TE",1.3,4680,"Active","Sunday Night","24%",5.8,7.1,7.8,14.2,8.7,11.31,7.54,18.46
"Mark Andrews","TE",1,4100,"Active","Sunday Morning","-30%",6.7,10,10.2,16.9,10.9,10.9,6.7,16.9
